track name="encodeCcreCombined"
"chr9",21919585,21919932,"EH38E2687232",473,".",21919585,21919932,"255,205,0","dELS,CTCF-bound","dELS",4.73733,"enhD","E2687232","EH38E2687232 distal enhancer-like signature",
"chr9",21920024,21920317,"EH38E2687233",374,".",21920024,21920317,"255,205,0","dELS","dELS",3.74822,"enhD","E2687233","EH38E2687233 distal enhancer-like signature",
"chr9",21921526,21921741,"EH38E2687234",202,".",21921526,21921741,"255,205,0","dELS","dELS",2.02604,"enhD","E2687234","EH38E2687234 distal enhancer-like signature",
"chr9",21923075,21923240,"EH38E2687235",166,".",21923075,21923240,"255,205,0","dELS","dELS",1.66535,"enhD","E2687235","EH38E2687235 distal enhancer-like signature",
"chr9",21923685,21923889,"EH38E2687236",229,".",21923685,21923889,"255,205,0","dELS","dELS",2.29629,"enhD","E2687236","EH38E2687236 distal enhancer-like signature",
"chr9",21933314,21933646,"EH38E2687237",326,".",21933314,21933646,"255,205,0","dELS","dELS",3.26689,"enhD","E2687237","EH38E2687237 distal enhancer-like signature",
"chr9",21964193,21964478,"EH38E2687241",234,".",21964193,21964478,"255,205,0","dELS","dELS",2.3451,"enhD","E2687241","EH38E2687241 distal enhancer-like signature",
"chr9",21965048,21965398,"EH38E2687242",431,".",21965048,21965398,"255,167,0","pELS,CTCF-bound","pELS",4.31936,"enhP","E2687242","EH38E2687242 proximal enhancer-like signature",
"chr9",21965566,21965803,"EH38E2687243",379,".",21965566,21965803,"255,167,0","pELS,CTCF-bound","pELS",3.79878,"enhP","E2687243","EH38E2687243 proximal enhancer-like signature",
"chr9",21966156,21966463,"EH38E2687244",229,".",21966156,21966463,"255,167,0","pELS","pELS",2.2927,"enhP","E2687244","EH38E2687244 proximal enhancer-like signature",
"chr9",21967709,21968049,"EH38E2687247",301,".",21967709,21968049,"255,170,170","DNase-H3K4me3","DNase-H3K4me3",3.01869,"K4m3","E2687247","EH38E2687247 DNase-H3K4me3",
"chr9",21968138,21968291,"EH38E2687248",218,".",21968138,21968291,"255,170,170","DNase-H3K4me3,CTCF-bound","DNase-H3K4me3",2.18895,"K4m3","E2687248","EH38E2687248 DNase-H3K4me3",
"chr9",21968413,21968629,"EH38E2687249",284,".",21968413,21968629,"255,170,170","DNase-H3K4me3,CTCF-bound","DNase-H3K4me3",2.84486,"K4m3","E2687249","EH38E2687249 DNase-H3K4me3",
"chr9",21968727,21968901,"EH38E2687250",268,".",21968727,21968901,"255,170,170","DNase-H3K4me3,CTCF-bound","DNase-H3K4me3",2.68792,"K4m3","E2687250","EH38E2687250 DNase-H3K4me3",
"chr9",21970430,21970644,"EH38E2687255",222,".",21970430,21970644,"255,167,0","pELS","pELS",2.22117,"enhP","E2687255","EH38E2687255 proximal enhancer-like signature",
"chr9",21970697,21971044,"EH38E2687256",239,".",21970697,21971044,"255,167,0","pELS","pELS",2.39458,"enhP","E2687256","EH38E2687256 proximal enhancer-like signature",
"chr9",21971327,21971583,"EH38E2687258",373,".",21971327,21971583,"255,0,0","PLS","PLS",3.73315,"prom","E2687258","EH38E2687258 promoter-like signature",
"chr9",21974031,21974242,"EH38E2687263",189,".",21974031,21974242,"255,167,0","pELS","pELS",1.89442,"enhP","E2687263","EH38E2687263 proximal enhancer-like signature",
"chr9",21974392,21974619,"EH38E2687264",272,".",21974392,21974619,"255,167,0","pELS,CTCF-bound","pELS",2.72986,"enhP","E2687264","EH38E2687264 proximal enhancer-like signature",
"chr9",21974796,21975048,"EH38E2687265",424,".",21974796,21975048,"255,0,0","PLS,CTCF-bound","PLS",4.24881,"prom","E2687265","EH38E2687265 promoter-like signature",
"chr9",21975049,21975344,"EH38E2687266",459,".",21975049,21975344,"255,0,0","PLS,CTCF-bound","PLS",4.59259,"prom","E2687266","EH38E2687266 promoter-like signature",
"chr9",21975500,21975806,"EH38E2687267",236,".",21975500,21975806,"255,167,0","pELS","pELS",2.36509,"enhP","E2687267","EH38E2687267 proximal enhancer-like signature",
"chr9",21982745,21982946,"EH38E2687268",200,".",21982745,21982946,"255,205,0","dELS","dELS",2.00935,"enhD","E2687268","EH38E2687268 distal enhancer-like signature",
"chr9",21983569,21983907,"EH38E2687270",335,".",21983569,21983907,"255,205,0","dELS","dELS",3.35622,"enhD","E2687270","EH38E2687270 distal enhancer-like signature",
